Trichomonas_vaginalis, G3 158–166a
Trichomonas_vaginalis, T1 154 ± 9 (8)
Trichomonas_tenax, Hs-4 133 ± 4 (3)
Tritrichomonas_foetus, KV-1 177 ± 11 (4)
Tritrichomonas_foetus, LUB 177 ± 12 (4)
Tritrichomonas_augusta, T-37 165 ± 6 (3)
Tetratrichomonas_gallinarum, M3 86 ± 10 (4)
Pentatrichomonas_hominis, GII 94 ± 8 (3)
Monocercomonas_colubrorum, R183 114 ± 17 (4)
Trichomitus_batrachorum, BUB 125 ± 11 (3)
Hypotrichomonas_acosta, L3 114 ± 16 (4)
