Trichomonas_vaginalis 14.8 ± 1.6 9.8 ± 1.0 3.3 5.63 ± 0.59 3.00 ± 0.50 0.12
Trichomonas_tenax 14.2 ± 1.92 10 ± 1.79 3.3 4.32 ± 0.51 2.56 ± 0.44 0.06
Tritrichomonas_foetus 13.28 ± 2 9.15 ± 1.43 2.7 5.19 ± 0.68 3.47 ± 0.41 0.15
Tritrichomonas_augusta 16.71 ± 2.39 11.8 ± 1.94 5.4 5.25 ± 0.87 3.58 ± 0.60 0.16
Tetratrichomonas_gallinarum 12.01 ± 0.92 8.58 ± 0.93 2 3.13 ± 0.46 2.47 ± 0.32 0.04
Pentatrichomonas_hominis 6.92 ± 0.92 4.53 ± 0.72 0.3 2.41 ± 0.42 1.82 ± 0.38 0.02
Hypotrichomonas_acosta 11.2 ± 1.54 7.99 ± 1.09 1.7 3.05 ± 0.40 1.97 ± 0.30 0.03
Monocercomonas_colubrorum 8.82 ± 2.08 5.92 ± 1.17 0.7 2.88 ± 0.55 1.89 ± 0.42 0.02
Trichomitus_batrachorum 12.38 ± 1.58 8.69 ± 0.98 2.2 3.58 ± 0.42 2.78 ± 1.50 0.07
