"Station.label" "Season" "Season.moment" "Depth" "Marine.biome" "Ocean.region" "Biogeographical.province" "Latitude" "Longitude" "Depth.nominal" "Depth.top.min" "Depth.bottom.max" "HCO3" "CO3" "Carbon.total" "Alkalinity.total" "Calcite.saturation.state" "Aragonite.saturation.state" "NO2" "PO4" "NO2NO3" "Si" "NO3" "Temperature" "Salinity" "Density" "Oxygen" "ChlorophyllA" "Ang.scat.coef.470nm" "Opt.backscat.coef.470nm" "Part.backscat.coef" "Fluorescence" "Opt.beam.att.coef.660nm" "Part.beam.att.coef" "PAR.TO" "Ice.free.period" "Moon.phase.prop" "Sunshine.duration" "Iron.5m" "Ammonium.5m" "NO2.5m" "NO3.5m" "Gradient.Surface.temp.SST." "Okubo.Weiss" "Lyapunov" "Residence.time" "acCDOM" "Depth.euph.zone" "Depth.Mixed.Layer" "Depth.chloro.max" "Depth.max.Brunt.Väisälä" "Depth.Max.O2" "Depth.Min.O2" "Depth.nitracline" "Carbon.flux" "DepthBathy" "Coast_Distance"
"TARA_005_ZZZ" "TARA_005" "summer" "summer_late" "ZZZ" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 36.0255 -4.4408 245 0 500 0.0032 0.00375 0.0731 0.002 0.0049 5e-04 0.025625 0.165625 4.17675 2.102875 NA 13.21885 38.843275 29.33435 NA 0.145114 NA NA NA NA NA NA 4e-06 365 0.04 733 0.00138742728934934 0.0173675790429115 0.0265678962071737 0.00958477744522194 6.8789 -10.41738 0.28453 13.638889 0.0157390940003097 77.5518341064453 27 66 56 NA NA NA NA -1266 54.8537
"TARA_006_DCM" "TARA_006" "summer" "summer_late" "DCM" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 36.5103 -3.9747 35 30 40 0.0076 0.006825 0.10605 0.00205 0.005125 0.00065 0.046 0.145875 2.499 1.736125 NA 18.878703 37.239979 26.701723 NA 0.327175 NA NA NA NA NA NA 0.00012 365 0.09 731 0.0013831989102376 0.0178799061104655 0.0306335411344965 0.0739912525750697 6.3497 NA 0 0 0.0672299414873123 41.3723163604736 11 15 4 NA NA NA NA -649 22.3729
"TARA_006_SRF" "TARA_006" "summer" "summer_late" "SRF" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 36.5229 -4.0023 9 3 15 0.0213 0.008525 0.246375 0.0067 0.0118 0.00155 0.0215 0.0925 0.3435 0.891375 NA 18.589717 37.212883 26.7997 NA 1.335038 NA NA NA NA NA NA 1.215399 365 0.09 731 0.0013831989102376 0.0178799061104655 0.0306335411344965 0.0739912525750697 6.3497 NA 0 0 0.0786126926541328 39.2499313354492 11 15 4 NA NA NA NA -649 22.3729
"TARA_006_ZZZ" "TARA_006" "summer" "summer_late" "ZZZ" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 36.5198 -4.0042 200 42.5 200 0.0056 0.00395 0.041625 0.001625 0.003325 0.000325 0.0295625 0.1841875 4.4095 2.4085625 NA 14.220242 38.051133 28.47955 NA 0.168273 NA NA NA NA NA NA 0 365 0.09 731 0.0013831989102376 0.0178799061104655 0.0306335411344965 0.0739912525750697 6.3497 NA 0 0 0.0703775770962238 42.3814945220947 11 15 4 NA NA NA NA -649 22.3729
"TARA_007_DCM" "TARA_007" "autumn" "autumn_early" "DCM" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 37.0541 1.9478 42 37 47 0.0243 0.0273 0.0256 0.0265 0.0539 0.009 0 0.0065 0.028 0.4985 NA 17.521075 37.1036 27.003675 NA 0.338691 NA NA NA NA NA NA 0.188942 365 0.25 727 0.00138777678754802 0.0152447197275857 0.0334897727395097 0.00691847107373178 1.0375 -1.3813 0 0 0.0159775726497173 79.045539855957 18 43 45 NA NA NA NA -2784 48.0551
"TARA_007_SRF" "TARA_007" "autumn" "autumn_early" "SRF" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 37.051 1.9378 9 3 15 0 0.0067 0.00695 0.00065 0 0.00095 0.0445 0.0475 0.14325 0.7935 NA 23.8141 37.522 25.61115 NA 0.189348 NA NA NA NA NA NA 1.794369 365 0.25 727 0.00138777678754802 0.0152447197275857 0.0334897727395097 0.00691847107373178 1.0375 -1.3813 0 0 0.0159970745444298 79.045539855957 18 43 45 NA NA NA NA -2784 48.0551
"TARA_007_ZZZ" "TARA_007" "autumn" "autumn_early" "ZZZ" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 37.033 1.9475 200 70 405 0 0.0066 0.0066 0.00065 0 0 0 0.1115 3.79 2.1145 NA 13.33555 38.840025 29.318175 NA 0.136719 NA NA NA NA NA NA 1e-06 365 0.25 727 0.00138777678754802 0.0152447197275857 0.0334897727395097 0.00691847107373178 1.0375 -1.3813 0 0 0.0159775726497173 79.045539855957 18 43 45 NA NA NA NA -2784 48.0551
"TARA_008_DCM" "TARA_008" "autumn" "autumn_early" "DCM" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 38.0093 3.9712 45 40 50 0.038 0.0123 0.0344 0.0066 0.0119 0.0024 NA NA NA NA NA 16.845 37.53845 27.47375 NA 0.318337 NA NA NA NA NA NA 1.709751 365 0.62 717 0.00138775878197824 0.0150636518374085 0.0272800264259179 0.00533238468536486 0.95289 0.575455 0.062714 1.055556 0.0143360546790063 86.1749305725098 19 33 35 NA NA NA NA -2860 121.5362
"TARA_008_SRF" "TARA_008" "autumn" "autumn_early" "SRF" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 38.0026 3.9992 9 3 15 0 0.0019 0.0018 0 0 0.00045 NA NA NA NA NA 23.8501 37.6166 25.6694 NA 0 NA NA NA NA NA NA 18.704232 365 0.62 717 0.00138775878197824 0.0150636518374085 0.0272800264259179 0.00533238468536486 0.95289 0.575455 0.062714 1.055556 0.0136812902055681 85.7493515014648 19 33 35 NA NA NA NA -2860 121.5362
"TARA_008_ZZZ" "TARA_008" "autumn" "autumn_early" "ZZZ" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 38.0024 3.9987 130 30 255 0 0.0028 0.00265 0 0 0.000225 NA NA NA NA NA 13.292225 38.801675 29.316175 NA 0.138294 NA NA NA NA NA NA 7e-06 365 0.62 717 0.00138775878197824 0.0150636518374085 0.0272800264259179 0.00533238468536486 0.95289 0.575455 0.062714 1.055556 0.0136812902055681 85.7493515014648 19 36 16 NA NA NA NA -2860 121.5362
